Data;Estado;Cidade;Tipo_de_lugar;Confirmado;Mortes;É_último;População_estimada;Cidade_ibge_code;Confirmado_por_100k_habitantes;Índice de mortalidade
10/03/2022;AL;Penedo;city;4871;90;True;63846;2706703;762.929.549;0.0185
09/03/2022;AL;Penedo;city;4871;90;False;63846;2706703;762.929.549;0.0185
08/03/2022;AL;Penedo;city;4871;90;False;63846;2706703;762.929.549;0.0185
07/03/2022;AL;Penedo;city;4871;90;False;63846;2706703;762.929.549;0.0185
06/03/2022;AL;Penedo;city;4871;90;False;63846;2706703;762.929.549;0.0185
05/03/2022;AL;Penedo;city;4871;90;False;63846;2706703;762.929.549;0.0185
04/03/2022;AL;Penedo;city;4871;89;False;63846;2706703;762.929.549;0.0183
03/03/2022;AL;Penedo;city;4871;89;False;63846;2706703;762.929.549;0.0183
02/03/2022;AL;Penedo;city;4871;89;False;63846;2706703;762.929.549;0.0183
01/03/2022;AL;Penedo;city;4871;89;False;63846;2706703;762.929.549;0.0183
28/02/2022;AL;Penedo;city;4794;89;False;63846;2706703;750.869.279;0.0186
27/02/2022;AL;Penedo;city;4794;89;False;63846;2706703;750.869.279;0.0186
26/02/2022;AL;Penedo;city;4793;89;False;63846;2706703;750.712.652;0.0186
25/02/2022;AL;Penedo;city;4793;89;False;63846;2706703;750.712.652;0.0186
24/02/2022;AL;Penedo;city;4793;88;False;63846;2706703;750.712.652;0.0184
23/02/2022;AL;Penedo;city;4791;88;False;63846;2706703;750.399.399;0.0184
22/02/2022;AL;Penedo;city;4791;88;False;63846;2706703;750.399.399;0.0184
21/02/2022;AL;Penedo;city;4790;88;False;63846;2706703;750.242.772;0.0184
20/02/2022;AL;Penedo;city;4790;88;False;63846;2706703;750.242.772;0.0184
19/02/2022;AL;Penedo;city;4790;88;False;63846;2706703;750.242.772;0.0184
18/02/2022;AL;Penedo;city;4788;88;False;63846;2706703;749.929.518;0.0184
17/02/2022;AL;Penedo;city;4782;87;False;63846;2706703;748.989.757;0.0182
16/02/2022;AL;Penedo;city;4756;87;False;63846;2706703;744.917.458;0.0183
15/02/2022;AL;Penedo;city;4661;87;False;63846;2706703;730.037.904;0.0187
14/02/2022;AL;Penedo;city;4659;87;False;63846;2706703;72.972.465;0.0187
13/02/2022;AL;Penedo;city;4638;87;False;63846;2706703;726.435.485;0.0188
12/02/2022;AL;Penedo;city;4618;87;False;63846;2706703;723.302.948;0.0188
11/02/2022;AL;Penedo;city;4609;87;False;63846;2706703;721.893.306;0.0189
10/02/2022;AL;Penedo;city;4608;86;False;63846;2706703;721.736.679;0.0187
09/02/2022;AL;Penedo;city;4603;86;False;63846;2706703;720.953.544;0.0187
08/02/2022;AL;Penedo;city;4579;85;False;63846;2706703;717.194.499;0.0186
07/02/2022;AL;Penedo;city;4553;85;False;63846;2706703;7.131.222;0.0187
06/02/2022;AL;Penedo;city;4550;85;False;63846;2706703;71.265.232;0.0187
05/02/2022;AL;Penedo;city;4546;85;False;63846;2706703;712.025.812;0.0187
04/02/2022;AL;Penedo;city;4504;85;False;63846;2706703;705.447.483;0.0189
01/02/2022;AL;Penedo;city;4494;85;False;63846;2706703;703.881.214;0.0189
31/01/2022;AL;Penedo;city;4461;85;False;63846;2706703;698.712.527;0.0191
30/01/2022;AL;Penedo;city;4459;85;False;63846;2706703;698.399.273;0.0191
28/01/2022;AL;Penedo;city;4454;85;False;63846;2706703;697.616.139;0.0191
27/01/2022;AL;Penedo;city;4428;85;False;63846;2706703;69.354.384;0.0192
26/01/2022;AL;Penedo;city;4418;85;False;63846;2706703;691.977.571;0.0192
25/01/2022;AL;Penedo;city;4418;85;False;63846;2706703;691.977.571;0.0192
24/01/2022;AL;Penedo;city;4415;85;False;63846;2706703;69.150.769;0.0193
23/01/2022;AL;Penedo;city;4412;85;False;63846;2706703;69.103.781;0.0193
22/01/2022;AL;Penedo;city;4395;85;False;63846;2706703;688.375.153;0.0193
21/01/2022;AL;Penedo;city;4394;85;False;63846;2706703;688.218.526;0.0193
20/01/2022;AL;Penedo;city;4388;85;False;63846;2706703;687.278.765;0.0194
19/01/2022;AL;Penedo;city;4382;85;False;63846;2706703;686.339.003;0.0194
18/01/2022;AL;Penedo;city;4381;85;False;63846;2706703;686.182.376;0.0194
17/01/2022;AL;Penedo;city;4381;85;False;63846;2706703;686.182.376;0.0194
16/01/2022;AL;Penedo;city;4381;85;False;63846;2706703;686.182.376;0.0194
15/01/2022;AL;Penedo;city;4379;85;False;63846;2706703;685.869.123;0.0194
14/01/2022;AL;Penedo;city;4379;85;False;63846;2706703;685.869.123;0.0194
13/01/2022;AL;Penedo;city;4378;85;False;63846;2706703;685.712.496;0.0194
12/01/2022;AL;Penedo;city;4376;85;False;63846;2706703;685.399.242;0.0194
11/01/2022;AL;Penedo;city;4375;85;False;63846;2706703;685.242.615;0.0194
10/01/2022;AL;Penedo;city;4375;85;False;63846;2706703;685.242.615;0.0194
09/01/2022;AL;Penedo;city;4373;85;False;63846;2706703;684.929.361;0.0194
08/01/2022;AL;Penedo;city;4373;85;False;63846;2706703;684.929.361;0.0194
07/01/2022;AL;Penedo;city;4371;85;False;63846;2706703;684.616.108;0.0194
06/01/2022;AL;Penedo;city;4370;85;False;63846;2706703;684.459.481;0.0195
05/01/2022;AL;Penedo;city;4370;85;False;63846;2706703;684.459.481;0.0195
04/01/2022;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
03/01/2022;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
02/01/2022;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
01/01/2022;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
31/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
30/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
29/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
28/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
27/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
26/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
25/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
24/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
23/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
22/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
21/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
20/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
19/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
18/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
17/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
16/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
15/12/2021;AL;Penedo;city;4368;85;False;63846;2706703;684.146.227;0.0195
14/12/2021;AL;Penedo;city;4367;85;False;63846;2706703;6.839.896;0.0195
13/12/2021;AL;Penedo;city;4367;85;False;63846;2706703;6.839.896;0.0195
12/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
11/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
10/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
09/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
08/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
07/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
06/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
05/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
04/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
03/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
02/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
01/12/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
30/11/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
29/11/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
28/11/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
27/11/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
26/11/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
25/11/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
24/11/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
23/11/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
22/11/2021;AL;Penedo;city;4366;84;False;63846;2706703;683.832.973;0.0192
21/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
20/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
19/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
18/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
17/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
16/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
15/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
14/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
13/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
12/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
11/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
10/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
09/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
08/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
07/11/2021;AL;Penedo;city;4366;83;False;63846;2706703;683.832.973;0.019
06/11/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
05/11/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
04/11/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
03/11/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
02/11/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
01/11/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
31/10/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
30/10/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
29/10/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
28/10/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
27/10/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
26/10/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
25/10/2021;AL;Penedo;city;4364;83;False;63846;2706703;683.519.719;0.019
24/10/2021;AL;Penedo;city;4363;83;False;63846;2706703;683.363.092;0.019
23/10/2021;AL;Penedo;city;4363;83;False;63846;2706703;683.363.092;0.019
22/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
21/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
20/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
19/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
18/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
17/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
16/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
15/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
14/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
13/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
12/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
11/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
10/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
09/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
08/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
07/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
06/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
05/10/2021;AL;Penedo;city;4362;83;False;63846;2706703;683.206.466;0.019
04/10/2021;AL;Penedo;city;4361;83;False;63846;2706703;683.049.839;0.019
03/10/2021;AL;Penedo;city;4361;83;False;63846;2706703;683.049.839;0.019
02/10/2021;AL;Penedo;city;4361;83;False;63846;2706703;683.049.839;0.019
01/10/2021;AL;Penedo;city;4361;83;False;63846;2706703;683.049.839;0.019
30/09/2021;AL;Penedo;city;4361;83;False;63846;2706703;683.049.839;0.019
29/09/2021;AL;Penedo;city;4361;83;False;63846;2706703;683.049.839;0.019
28/09/2021;AL;Penedo;city;4359;83;False;63846;2706703;682.736.585;0.019
27/09/2021;AL;Penedo;city;4359;83;False;63846;2706703;682.736.585;0.019
26/09/2021;AL;Penedo;city;4359;83;False;63846;2706703;682.736.585;0.019
25/09/2021;AL;Penedo;city;4359;83;False;63846;2706703;682.736.585;0.019
24/09/2021;AL;Penedo;city;4359;83;False;63846;2706703;682.736.585;0.019
23/09/2021;AL;Penedo;city;4359;83;False;63846;2706703;682.736.585;0.019
22/09/2021;AL;Penedo;city;4357;83;False;63846;2706703;682.423.331;0.019
21/09/2021;AL;Penedo;city;4357;83;False;63846;2706703;682.423.331;0.019
20/09/2021;AL;Penedo;city;4357;82;False;63846;2706703;682.423.331;0.0188
19/09/2021;AL;Penedo;city;4357;82;False;63846;2706703;682.423.331;0.0188
18/09/2021;AL;Penedo;city;4357;82;False;63846;2706703;682.423.331;0.0188
17/09/2021;AL;Penedo;city;4357;82;False;63846;2706703;682.423.331;0.0188
16/09/2021;AL;Penedo;city;4357;82;False;63846;2706703;682.423.331;0.0188
15/09/2021;AL;Penedo;city;4356;80;False;63846;2706703;682.266.704;0.0184
14/09/2021;AL;Penedo;city;4355;80;False;63846;2706703;682.110.077;0.0184
13/09/2021;AL;Penedo;city;4355;80;False;63846;2706703;682.110.077;0.0184
12/09/2021;AL;Penedo;city;4355;80;False;63846;2706703;682.110.077;0.0184
11/09/2021;AL;Penedo;city;4355;80;False;63846;2706703;682.110.077;0.0184
10/09/2021;AL;Penedo;city;4355;80;False;63846;2706703;682.110.077;0.0184
09/09/2021;AL;Penedo;city;4356;80;False;63846;2706703;682.266.704;0.0184
08/09/2021;AL;Penedo;city;4356;80;False;63846;2706703;682.266.704;0.0184
07/09/2021;AL;Penedo;city;4356;80;False;63846;2706703;682.266.704;0.0184
06/09/2021;AL;Penedo;city;4356;80;False;63846;2706703;682.266.704;0.0184
31/08/2021;AL;Penedo;city;4352;80;False;63846;2706703;681.640.197;0.0184
30/08/2021;AL;Penedo;city;4352;80;False;63846;2706703;681.640.197;0.0184
29/08/2021;AL;Penedo;city;4351;80;False;63846;2706703;68.148.357;0.0184
28/08/2021;AL;Penedo;city;4351;80;False;63846;2706703;68.148.357;0.0184
27/08/2021;AL;Penedo;city;4351;80;False;63846;2706703;68.148.357;0.0184
26/08/2021;AL;Penedo;city;4347;80;False;63846;2706703;680.857.062;0.0184
25/08/2021;AL;Penedo;city;4343;80;False;63846;2706703;680.230.555;0.0184
24/08/2021;AL;Penedo;city;4341;80;False;63846;2706703;679.917.301;0.0184
23/08/2021;AL;Penedo;city;4340;80;False;63846;2706703;679.760.674;0.0184
22/08/2021;AL;Penedo;city;4340;80;False;63846;2706703;679.760.674;0.0184
21/08/2021;AL;Penedo;city;4339;80;False;63846;2706703;679.604.047;0.0184
20/08/2021;AL;Penedo;city;4338;80;False;63846;2706703;67.944.742;0.0184
19/08/2021;AL;Penedo;city;4337;80;False;63846;2706703;679.290.793;0.0184
18/08/2021;AL;Penedo;city;4337;79;False;63846;2706703;679.290.793;0.0182
17/08/2021;AL;Penedo;city;4337;79;False;63846;2706703;679.290.793;0.0182
16/08/2021;AL;Penedo;city;4337;79;False;63846;2706703;679.290.793;0.0182
15/08/2021;AL;Penedo;city;4335;79;False;63846;2706703;67.897.754;0.0182
14/08/2021;AL;Penedo;city;4331;79;False;63846;2706703;678.351.032;0.0182
13/08/2021;AL;Penedo;city;4330;79;False;63846;2706703;678.194.405;0.0182
12/08/2021;AL;Penedo;city;4329;79;False;63846;2706703;678.037.778;0.0182
11/08/2021;AL;Penedo;city;4329;79;False;63846;2706703;678.037.778;0.0182
10/08/2021;AL;Penedo;city;4329;79;False;63846;2706703;678.037.778;0.0182
09/08/2021;AL;Penedo;city;4328;79;False;63846;2706703;677.881.152;0.0183
08/08/2021;AL;Penedo;city;4328;79;False;63846;2706703;677.881.152;0.0183
07/08/2021;AL;Penedo;city;4324;79;False;63846;2706703;677.254.644;0.0183
06/08/2021;AL;Penedo;city;4320;79;False;63846;2706703;676.628.136;0.0183
05/08/2021;AL;Penedo;city;4309;79;False;63846;2706703;674.905.241;0.0183
04/08/2021;AL;Penedo;city;4310;79;False;63846;2706703;675.061.868;0.0183
03/08/2021;AL;Penedo;city;4309;79;False;63846;2706703;674.905.241;0.0183
02/08/2021;AL;Penedo;city;4304;79;False;63846;2706703;674.122.106;0.0184
01/08/2021;AL;Penedo;city;4302;79;False;63846;2706703;673.808.853;0.0184
31/07/2021;AL;Penedo;city;4298;79;False;63846;2706703;673.182.345;0.0184
30/07/2021;AL;Penedo;city;4294;79;False;63846;2706703;672.555.837;0.0184
29/07/2021;AL;Penedo;city;4289;79;False;63846;2706703;671.772.703;0.0184
28/07/2021;AL;Penedo;city;4287;79;False;63846;2706703;671.459.449;0.0184
27/07/2021;AL;Penedo;city;4287;79;False;63846;2706703;671.459.449;0.0184
